record_id,record_type,batch_id,branch_id,branch_name,branch_manager,transaction_id,membership_id,order_channel,order_items,order_subtotal,discount_applied,total_amount,payment_method,transaction_status,order_source,customer_arrival_time,customer_departure_time,ingested_at,order_items_clean,order_items_typo_fixed,total_amount_imputed,imputation_method,imputation_flagged_implausible
2c179892-181d-45a2-b594-48a55a445819,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-01,QuFoods Ikeja,Chukwuemeka Obi,TXN-08141880,MBR-761782,IN_STORE,zobo(x3),1457.55,0.0,1457.55,TRANSFER,COMPLETED,PHYSICAL,2026-06-17T12:11:44Z,2026-06-17T12:35:44Z,2026-06-17T15:45:38Z,zobo(x3),False,False,,False
06b167d7-9c74-4954-afd1-0f48e69943e7,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-19,QuFoods Kano,Musa Abdullahi,TXN-34756404,,ONLINE,"fried rice, jollof rice, chapman(x2)",7366.85,0.12,6482.83,TRANSFER,FAILED,ONLINE,2026-06-17T20:20:11Z,2026-06-17T20:31:11Z,2026-06-17T15:45:38Z,"fried rice, jollof rice, chapman(x2)",False,False,,False
423e9cf7-72f6-46be-8a71-859ef99931cd,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-10,QuFoods Abuja Wuse,Kelechi Nnamdi,TXN-88200897,,IN_STORE,"plantain, burger(x2), chicken wings",10494.33,0.0,10494.33,CASH,COMPLETED,ONLINE,2026-06-17T12:52:01Z,2026-06-17T13:07:01Z,2026-06-17T15:45:38Z,"plantain, burger(x2), chicken wings",False,False,,False
b1d3ea1b-5def-431e-b5f7-1434abf7f478,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-16,QuFoods Onitsha,Obinna Eze,TXN-89285617,,ONLINE,burger,3484.39,0.18,2857.2,TRANSFER,COMPLETED,ONLINE,2026-06-17T19:38:03Z,2026-06-17T20:15:03Z,2026-06-17T15:45:38Z,burger,False,False,,False
82bbe75d-7b80-4da4-9944-056c45c9a243,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-01,QuFoods Ikeja,Chukwuemeka Obi,TXN-99073169,,IN_STORE,"chicken wings, water",3006.26,0.14,2585.38,CASH,COMPLETED,PHYSICAL,2026-06-17T19:36:25Z,2026-06-17T20:16:25Z,2026-06-17T15:45:38Z,"chicken wings, water",False,False,,False
28c60bf3-e706-4d15-afe5-1aefcd83f17a,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-13,QuFoods Warri,Blessing Ovwigho,TXN-71927582,,IN_STORE,"chicken wings, burger",6039.33,0.0,6039.33,CASH,COMPLETED,PHYSICAL,2026-06-17T18:20:51Z,2026-06-17T18:51:51Z,2026-06-17T15:45:38Z,"chicken wings, burger",False,False,,False
874621e8-59f4-4a8c-90a9-8100455178e1,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-02,QuFoods Lekki,Adaeze Nwosu,TXN-02932889,,ONLINE,puff puff,665.05,0.0,665.05,POS,COMPLETED,ONLINE,2026-06-17T18:16:14Z,2026-06-17T18:47:14Z,2026-06-17T15:45:38Z,puff puff,False,True,algebraic,False
da08ff68-4903-4d9b-932b-ffbfa3128bff,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-07,QuFoods Sagamu,Oluwaseun Fasanya,TXN-03933799,,IN_STORE,"jollof rice, ofada rice",6308.03,0.0,6308.03,CASH,COMPLETED,PHYSICAL,2026-06-17T19:52:24Z,2026-06-17T20:15:24Z,2026-06-17T15:45:38Z,"jollof rice, ofada rice",False,False,,False
5746d1bf-8b08-4b05-8114-4904e93c7346,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-13,QuFoods Warri,Blessing Ovwigho,TXN-15589199,,ONLINE,"coke, burger",4059.53,0.08,3734.77,POS,COMPLETED,ONLINE,2026-06-17T11:51:44Z,2026-06-17T12:32:44Z,2026-06-17T15:45:38Z,"coke, burger",False,False,,False
c98df619-a9ca-4800-9a8f-04123aa8ba69,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-12,QuFoods Port Harcourt,Ifeanyi Okonkwo,TXN-23712831,MBR-065721,IN_STORE,"grilled fish, water",4400.12,0.17,3652.0995999999996,POS,COMPLETED,PHYSICAL,2026-06-17T17:43:21Z,2026-06-17T17:14:21Z,2026-06-17T15:45:38Z,"grilled fish, water",False,True,algebraic,False
370ee800-b068-40ab-aee1-3822be394938,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-18,QuFoods Kaduna,Hauwa Ibrahim,TXN-85374272,,IN_STORE,ocke,509.65,0.0,509.65,CASH,COMPLETED,PHYSICAL,2026-06-17T18:47:41Z,2026-06-17T18:58:41Z,2026-06-17T15:45:38Z,coke,True,False,,False
284ede93-d1d2-45aa-82b4-5f55acf3f6c5,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-02,QuFoods Lekki,Adaeze Nwosu,TXN-72043676,MBR-807807,IN_STORE,"chicken wings(x2), jollof rice, ofada rice",12172.71,0.0,12172.71,POS,FAILED,PHYSICAL,2026-06-17T12:00:07Z,2026-06-17T12:28:07Z,2026-06-17T15:45:38Z,"chicken wings(x2), jollof rice, ofada rice",False,False,,False
367a5d5e-f5df-4eff-ad9d-db834e1102fd,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-18,QuFoods Kaduna,Hauwa Ibrahim,TXN-25348940,,ONLINE,"burger, ofada rice(x2), ckoe",10413.2,0.0,10413.2,CASH,COMPLETED,ONLINE,2026-06-17T12:23:51Z,2026-06-17T12:49:51Z,2026-06-17T15:45:38Z,"burger, ofada rice(x2), coke",True,False,,False
94356450-3c91-4f1f-8654-b583864b415a,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-06,QuFoods Abeokuta,Ngozi Eze,TXN-51225479,,IN_STORE,ofada rice,3356.12,0.0,3356.12,TRANSFER,COMPLETED,ONLINE,2026-06-17T12:35:12Z,2026-06-17T13:12:12Z,2026-06-17T15:45:38Z,ofada rice,False,False,,False
10ab52dd-e6da-4528-ae3e-39351660419f,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-03,QuFoods Victoria Island,Babatunde Adeyemi,TXN-18740961,,IN_STORE,"grilled fish, chicken wings, chapman, fried rice",11439.04,0.12,10066.36,CASH,COMPLETED,PHYSICAL,2026-06-17T12:35:41Z,2026-06-17T13:08:41Z,2026-06-17T15:45:38Z,"grilled fish, chicken wings, chapman, fried rice",False,False,,False
61c1517a-7ede-448b-8896-ea51bd4eff64,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-01,QuFoods Ikeja,Chukwuemeka Obi,TXN-82063178,,ONLINE,zobo,492.38,0.0,492.38,TRANSFER,COMPLETED,ONLINE,2026-06-17T19:55:47Z,2026-06-17T20:24:47Z,2026-06-17T15:45:38Z,zobo,False,False,,False
e5e8a6d3-e94e-4c07-8c46-320db233f0d3,SALE,BATCH-96bd24c2-7124-4fb5-93e8-f016bd600d67,BR-07,QuFoods Sagamu,Oluwaseun Fasanya,TXN-83805825,,IN_STORE,"chapman, puff puff, water, burger",5315.13,0.0,5315.13,CASH,COMPLETED,PHYSICAL,2026-06-17T12:37:35Z,2026-06-17T12:47:35Z,2026-06-17T15:45:38Z,"chapman, puff puff, water, burger",False,True,algebraic,False
